id,ARRAY_PARTITION_FACTOR,INIT_INTERVAL_HOR,INIT_INTERVAL_VER,ACCELERATOR_1_UNCERTAINTY,DATA_MOVER_CLOCK,ACCELERATOR_2_CLOCK,UNROLL_FACTOR_VER,ACCELERATOR_2_UNCERTAINTY,ACCELERATOR_1_CLOCK,UNROLL_FACTOR_HOR,state,time
203,14,1,2,27.043881073600296,0,3,1,77.24702588238095,1,1,ERROR,inf
204,9,1,2,12.713352207661135,1,3,1,63.592589638243936,1,1,OK,127118.0
205,9,1,2,27.043881073600296,3,3,1,90.56185961809753,1,1,ERROR,inf
206,6,1,2,27.043881073600296,2,0,1,77.24702588238095,0,1,ERROR,inf
207,9,1,2,25.726280654803645,1,3,1,62.386256682782694,2,1,ERROR,inf
208,7,1,1,24.22927736323762,1,3,1,87.70197670559763,3,1,ERROR,inf
209,2,8,2,79.35670787142351,2,1,2,43.050906842222304,0,2,ERROR,inf
622,9,1,2,27.043881073600296,1,3,1,77.24702588238095,1,2,TIMEOUT,inf
892,9,1,2,27.043881073600296,0,3,1,77.24702588238095,1,1,ERROR,inf
613,9,1,12,27.043881073600296,1,3,1,77.24702588238095,1,1,OK,737258.0
213,9,1,2,95.4277880360999,1,0,1,77.24702588238095,0,1,ERROR,inf
214,9,1,1,27.043881073600296,1,3,1,77.24702588238095,0,2,ERROR,inf
215,9,1,2,55.193825024162315,1,1,2,77.24702588238095,1,1,OK,176024.0
216,2,1,2,27.043881073600296,1,3,1,77.24702588238095,1,1,OK,493206.0
217,3,1,2,81.45981000348843,1,3,1,77.24702588238095,1,2,TIMEOUT,inf
218,9,1,9,27.043881073600296,1,3,1,77.24702588238095,1,1,OK,554114.0
219,3,1,2,27.043881073600296,1,3,1,77.24702588238095,0,1,ERROR,inf
220,9,1,2,27.043881073600296,1,3,2,56.89937518509305,1,1,OK,127294.0
221,9,1,2,8.117635986795547,2,3,1,77.24702588238095,1,1,ERROR,inf
919,9,1,1,27.043881073600296,1,3,1,77.24702588238095,1,1,OK,127154.0
223,9,1,2,35.769679210527684,1,3,1,77.24702588238095,3,1,ERROR,inf
224,9,3,2,0.8672563892581087,1,3,1,77.24702588238095,1,1,OK,273792.0
225,2,6,2,65.93696048959663,2,1,2,48.26237529671502,0,2,ERROR,inf
226,9,1,2,24.677003753215047,3,3,1,77.24702588238095,2,1,ERROR,inf
228,9,1,2,32.41085705938754,1,0,1,77.24702588238095,1,1,OK,151688.0
229,10,1,4,27.043881073600296,1,3,1,68.21975985891886,1,1,OK,249020.0
230,9,1,2,27.043881073600296,1,3,1,73.3898552912859,3,1,ERROR,inf
886,9,1,2,27.043881073600296,3,3,1,77.24702588238095,1,1,ERROR,inf
232,10,1,2,27.043881073600296,3,3,1,77.24702588238095,3,1,ERROR,inf
233,9,1,2,23.49148776097782,1,0,1,87.38074985418626,1,1,OK,151736.0
895,9,1,2,27.043881073600296,1,0,1,77.24702588238095,1,1,OK,151406.0
235,9,1,2,27.043881073600296,3,3,1,83.95065932506239,3,1,ERROR,inf
236,6,1,2,27.043881073600296,1,3,1,68.27975763592868,1,1,OK,188096.0
237,12,1,2,27.043881073600296,1,3,1,72.0073782143167,1,1,OK,127058.0
238,9,2,1,27.043881073600296,1,3,1,77.24702588238095,1,1,OK,188628.0
239,9,1,2,44.40183738428651,1,2,1,62.44399615314434,1,1,OK,249138.0
240,9,1,2,27.043881073600296,1,2,1,77.24702588238095,2,1,ERROR,inf
241,2,3,2,35.74252888048615,2,1,2,59.988179319323635,0,2,ERROR,inf
242,9,1,2,27.043881073600296,1,1,1,72.0164329043522,1,1,OK,175832.0
243,9,1,3,27.043881073600296,1,3,1,89.47977206054014,0,1,ERROR,inf
244,9,1,3,53.7728107371163,2,3,1,77.24702588238095,1,1,ERROR,inf
245,9,2,2,27.043881073600296,1,3,1,73.832964178393,1,1,OK,188436.0
246,9,1,2,26.952991274271536,1,2,1,77.24702588238095,1,1,OK,249270.0
247,9,2,2,27.043881073600296,0,3,1,77.24702588238095,1,1,ERROR,inf
248,12,1,2,42.456954413409655,0,3,1,75.68910600086649,2,1,ERROR,inf
249,9,1,2,31.133127831013596,1,2,1,96.84631442131051,0,1,ERROR,inf
250,9,1,2,37.83099453237207,1,3,1,85.88943552864482,1,1,ERROR,inf
251,8,1,2,27.043881073600296,3,3,1,75.30811871926015,1,1,ERROR,inf
252,9,1,2,27.043881073600296,1,1,1,89.15278184713105,1,1,OK,175976.0
253,9,1,2,18.15332833137996,1,3,1,77.24702588238095,1,1,OK,127118.0
254,9,1,1,38.99835585742126,1,3,1,77.24702588238095,0,1,ERROR,inf
255,9,1,2,27.043881073600296,1,1,1,77.24702588238095,2,1,ERROR,inf
256,9,1,3,26.55680300906637,1,0,1,77.24702588238095,1,1,OK,224832.0
257,2,4,2,45.80733941685631,2,1,2,56.07957797845409,0,2,ERROR,inf
258,9,1,2,27.043881073600296,2,3,1,91.24704691698327,1,1,ERROR,inf
775,9,1,1,27.043881073600296,1,2,1,77.24702588238095,1,1,OK,249174.0
260,9,1,2,24.072623204790606,3,3,1,97.85150814946476,1,1,ERROR,inf
261,15,1,3,27.043881073600296,3,3,1,77.24702588238095,0,1,ERROR,inf
262,10,1,2,23.88555985724735,0,3,1,77.24702588238095,3,1,ERROR,inf
876,6,1,2,27.043881073600296,1,3,1,77.24702588238095,1,1,OK,188142.0
264,9,1,2,27.043881073600296,1,2,1,77.24702588238095,3,1,ERROR,inf
265,9,1,1,17.422187222703815,1,3,1,75.0630873866332,3,1,ERROR,inf
266,9,1,5,35.07721442599726,1,3,1,77.24702588238095,1,1,OK,310224.0
268,10,1,2,27.043881073600296,1,3,1,73.5440093276303,0,1,ERROR,inf
269,9,1,2,33.51918433806561,1,3,1,77.24702588238095,1,1,OK,127222.0
270,9,1,2,27.043881073600296,1,3,1,65.73787987015953,1,1,OK,127174.0
837,10,1,2,27.043881073600296,1,3,1,77.24702588238095,1,1,OK,127184.0
273,2,8,2,68.45316312368914,2,1,2,47.28522496149763,0,2,ERROR,inf
274,1,9,12,88.68003074422303,2,0,1,52.0292771872638,1,1,ERROR,inf
275,10,2,5,69.99632465424327,2,1,2,75.20456408273539,2,2,TIMEOUT,inf
276,3,10,6,61.457103784164026,2,0,1,16.608690146636274,3,1,TIMEOUT,inf
277,6,5,1,76.2406639296109,2,2,1,91.16683952399198,1,1,ERROR,inf
278,2,1,2,77.63604927259907,3,0,2,62.020591919963955,2,2,ERROR,inf
279,1,4,1,76.08865591683409,2,3,2,48.518279634969645,3,1,ERROR,inf
280,4,12,13,96.74007552208485,1,0,1,58.84784554284877,2,2,ERROR,inf
281,10,2,16,76.95000119476316,0,0,1,52.51840096025213,0,2,ERROR,inf
282,1,1,2,41.511069421203004,3,2,1,77.19225030838811,1,1,ERROR,inf
283,8,1,2,42.90673745578475,2,3,1,20.78374542374736,3,2,ERROR,inf
284,15,6,3,35.31322238501161,1,1,2,89.35313417065412,2,2,ERROR,inf
285,13,1,8,58.18910575118088,0,2,1,100.0,3,2,ERROR,inf
286,3,1,6,21.528184982417507,3,2,1,51.71439413064738,1,1,ERROR,inf
287,6,2,1,80.33114502685322,1,2,2,19.609614579634883,2,2,ERROR,inf
288,1,1,1,64.98297453547477,0,1,1,75.02209804952525,3,1,ERROR,inf
289,2,6,2,60.90455522141154,2,1,2,50.21667596714978,0,2,ERROR,inf
290,9,1,2,27.043881073600296,1,0,1,80.69902739090932,1,1,OK,151540.0
291,14,1,2,27.043881073600296,1,3,1,77.24702588238095,1,1,OK,127168.0
292,9,2,2,32.503928604219944,3,2,1,77.24702588238095,1,1,ERROR,inf
293,9,1,2,27.043881073600296,1,3,1,77.98903292463723,1,1,OK,127100.0
294,9,1,2,27.043881073600296,3,3,1,77.24702588238095,3,1,ERROR,inf
295,9,1,2,27.043881073600296,0,3,1,61.75755347710522,2,1,ERROR,inf
296,9,1,5,27.043881073600296,1,1,1,77.24702588238095,3,1,ERROR,inf
