id,PIPELINE_II_SUB,KERNEL_CLOCK,UNROLL_FACTOR_EXP1,UNROLL_FACTOR_EXP2,UNROLL_FACTOR_ECB1,UNROLL_FACTOR_ECB3,UNROLL_FACTOR_ECB2,PIPELINE_II_ADDKEY,PIPELINE_II_ECB1,PIPELINE_II_ECB2,PIPELINE_II_ECB3,PIPELINE_II_EXP1,PIPELINE_II_EXP2,PIPELINE_EXP2,PIPELINE_EXP1,UNROLL_FACTOR_ADDKEY,UNROLL_FACTOR_SUB,UNROLL_FACTOR_MIX,PIPELINE_SUB,PIPELINE_II_CPKEY,PIPELINE_II_MIX,PIPELINE_ECB2,PIPELINE_ECB3,PIPELINE_ECB1,PIPELINE_ADDKEY,DATA_MOVER_CLOCK,UNROLL_FACTOR_CPKEY,PIPELINE_MIX,PIPELINE_CPKEY,state,presynth_time,synth_time,impl_time,run_time
69,8,0,1,3,10,7,5,4,3,4,9,2,3,False,False,14,5,4,True,11,2,False,False,True,True,3,14,False,False,TIMING,356.2,918.13,inf,inf
70,16,3,2,1,1,1,8,15,1,1,13,2,3,True,True,1,1,1,False,16,4,False,False,False,False,3,11,False,False,TIMING,359.36,924.74,inf,inf
71,1,2,2,3,10,13,6,16,1,8,13,2,1,True,True,14,16,1,True,11,1,True,True,True,True,0,1,False,True,TIMING,396.6,1688.69,inf,inf
72,2,2,3,2,32,1,1,16,1,8,1,1,2,False,True,16,5,1,False,16,4,True,False,False,False,1,16,True,True,TIMING,359.29,943.6,inf,inf
73,2,3,1,3,10,5,1,13,1,2,13,1,1,True,False,12,16,4,False,12,1,False,False,False,False,3,9,False,False,TIMING,361.73,931.59,inf,inf
74,2,3,2,2,8,11,8,14,1,8,7,3,3,True,False,16,16,1,True,12,1,False,False,False,False,0,12,True,True,TIMING,366.89,984.74,inf,inf
75,4,3,3,3,3,7,3,16,17,8,7,3,3,True,False,16,2,3,True,5,3,False,True,False,False,1,8,False,False,TIMING,348.29,880.26,inf,inf
76,16,1,3,3,10,1,8,16,1,8,1,2,3,False,False,16,16,1,True,1,1,True,True,True,False,1,13,True,True,TIMING,411.49,1738.58,inf,inf
77,14,3,2,3,1,4,5,10,13,1,13,2,2,False,True,16,2,1,False,16,4,True,False,True,True,2,16,False,False,TIMING,383.43,979.4,inf,inf
78,1,3,3,2,1,3,1,6,1,1,11,1,3,False,False,5,1,2,True,16,4,False,False,True,True,0,16,False,True,TIMING,381.78,878.78,inf,inf
79,4,2,2,1,1,3,4,2,3,1,13,2,2,False,False,4,4,1,False,10,1,True,False,False,True,3,9,False,False,TIMING,365.24,887.61,inf,inf
80,10,3,1,2,8,9,5,7,2,1,6,3,1,True,False,16,3,2,True,14,1,False,False,True,False,1,14,True,False,TIMING,387.31,992.77,inf,inf
81,15,0,1,1,19,9,7,4,7,2,3,3,3,False,False,14,16,4,True,16,2,True,True,True,True,3,4,False,False,TIMING,416.78,1712.31,inf,inf
82,14,2,3,3,27,13,7,3,8,4,5,2,1,False,True,16,16,3,False,8,4,False,False,True,True,2,4,False,False,OK,367.53,968.78,378.15,489354.0
83,4,2,3,3,11,2,2,14,25,4,7,1,1,False,False,14,3,1,False,13,2,True,True,True,False,1,10,False,False,TIMING,410.09,1784.75,inf,inf
84,12,2,3,2,22,2,6,11,5,2,3,2,2,True,True,6,16,2,True,6,1,True,False,False,True,0,2,True,False,TIMING,363.2,888.25,inf,inf
85,16,3,3,2,24,3,5,5,31,2,3,2,2,False,False,13,16,4,False,16,3,True,False,False,False,1,15,True,False,TIMING,376.01,966.3,inf,inf
86,5,1,2,3,7,12,4,4,12,7,5,3,1,True,True,7,6,4,False,4,2,True,True,False,False,1,15,True,False,TIMING,389.29,1709.22,inf,inf
87,7,1,2,3,5,9,7,15,10,7,7,3,1,True,True,5,16,1,False,6,4,True,True,False,False,2,3,False,False,TIMING,401.08,1696.79,inf,inf
88,4,3,2,3,25,11,2,11,31,4,10,1,1,False,True,14,11,3,False,9,4,True,False,False,True,1,12,True,False,TIMING,371.03,949.12,inf,inf
89,16,3,1,1,23,5,6,2,29,5,4,3,1,False,True,6,16,3,False,2,4,False,True,True,False,1,4,True,False,STO,396.59,inf,inf,inf
90,4,0,3,3,23,12,5,16,32,1,7,2,3,False,True,9,9,1,False,5,4,False,False,True,False,3,15,False,False,TIMING,376.01,934.4,inf,inf
91,2,2,3,3,12,2,5,5,10,5,10,3,3,False,True,15,16,1,False,15,1,True,True,True,False,0,15,False,False,TIMING,396.91,1658.07,inf,inf
92,11,1,2,2,27,5,2,6,8,3,5,3,2,True,True,10,16,4,True,8,1,True,False,True,False,1,4,True,False,TIMING,373.19,943.85,inf,inf
93,3,3,2,3,9,6,6,11,20,7,2,1,2,True,False,16,16,1,True,4,3,False,False,False,True,3,8,True,False,TIMING,369.05,914.85,inf,inf
94,2,1,3,3,13,3,5,5,13,2,10,3,3,True,False,12,16,4,True,5,2,False,False,False,True,2,7,False,False,TIMING,372.44,975.85,inf,inf
95,16,3,3,2,1,13,8,1,1,1,7,1,2,True,True,9,16,1,True,1,1,True,True,False,True,2,9,True,False,TIMING,404.26,1663.37,inf,inf
96,5,3,1,2,3,11,7,8,1,8,5,1,2,False,True,3,11,1,False,8,1,True,False,True,True,2,16,True,False,TIMING,373.3,955.3,inf,inf
97,9,2,1,2,15,7,7,7,4,4,9,2,1,True,True,14,11,2,False,2,3,False,False,False,True,2,11,False,False,OK,371.77,885.11,373.36,615586.0
98,14,3,2,1,3,4,1,16,24,2,4,2,2,False,False,15,6,1,True,15,3,False,False,False,True,1,6,False,True,TIMING,377.48,904.22,inf,inf
99,9,2,3,1,12,5,8,10,2,5,9,2,1,False,False,15,3,2,False,11,3,False,True,True,True,0,5,True,True,TIMING,399.41,1692.71,inf,inf
100,4,2,3,2,5,6,5,1,32,8,1,2,3,False,True,15,10,3,True,11,3,False,True,True,False,2,9,False,False,OK,399.41,1730.14,458.33,611438.0
101,15,2,3,1,26,12,6,3,5,4,4,2,2,False,True,16,16,1,True,2,1,False,False,False,True,1,3,True,False,TIMING,370.33,913.23,inf,inf
102,11,2,3,3,10,2,7,8,8,3,12,1,3,False,True,15,6,4,False,5,3,False,False,False,True,0,6,False,True,TIMING,373.78,870.98,inf,inf
103,4,2,3,3,21,7,4,13,18,3,5,3,3,False,False,16,7,3,False,13,3,True,True,True,False,2,6,False,True,OK,405.96,1660.51,457.26,612116.0
104,4,3,1,2,1,1,3,9,9,6,3,2,3,False,False,15,8,1,False,16,3,False,True,False,True,3,9,True,True,TIMING,368.66,866.02,inf,inf
105,4,3,2,3,8,7,6,4,15,3,4,1,3,True,True,15,8,2,True,9,3,False,True,True,True,0,5,False,True,TIMING,416.18,1764.28,inf,inf
106,5,1,3,3,8,5,4,9,9,1,12,1,2,False,True,15,1,3,True,7,1,True,False,True,False,2,8,True,True,TIMING,369.0,910.06,inf,inf
107,4,3,3,3,23,8,5,6,15,7,6,3,3,False,False,15,9,1,False,11,2,False,True,True,False,1,2,True,False,TIMING,392.85,1766.6,inf,inf
108,15,2,3,2,24,3,5,11,23,1,1,1,1,False,False,16,3,1,False,16,4,True,True,True,True,0,12,False,True,TIMING,416.57,1764.16,inf,inf
109,4,2,3,3,31,1,5,12,30,2,2,2,1,True,False,15,7,2,False,2,3,True,False,True,True,2,13,True,False,OK,380.6,925.53,356.06,600794.0
110,11,1,3,3,15,10,6,9,16,4,4,3,2,False,True,16,3,3,False,7,2,False,False,True,True,1,8,True,True,TIMING,370.33,941.22,inf,inf
111,14,2,3,3,11,7,6,5,14,1,12,1,3,True,False,14,6,3,False,10,2,False,False,True,False,1,1,True,True,TIMING,383.59,888.81,inf,inf
112,16,2,3,3,3,1,5,5,15,5,8,2,1,False,True,15,7,3,False,13,1,False,False,True,False,1,1,True,False,TIMING,368.65,916.56,inf,inf
113,14,2,2,2,25,11,6,9,14,6,5,2,3,True,True,16,1,3,True,16,4,True,True,True,True,2,5,True,False,OK,383.78,1712.17,422.03,611106.0
114,13,2,3,1,24,9,8,10,13,7,13,3,3,True,False,14,11,3,False,11,4,False,False,False,False,2,2,True,True,OK,370.78,922.56,381.61,610180.0
115,6,2,2,2,2,10,1,7,27,4,3,2,1,False,False,16,10,4,False,9,4,True,True,False,True,2,5,True,True,OK,407.08,1700.99,417.8,616338.0
116,1,2,2,2,7,7,3,7,8,2,2,2,2,True,False,14,13,3,False,3,4,False,True,False,True,2,2,False,False,RTO,369.43,890.96,276.45,inf
117,10,2,3,3,31,9,4,12,21,2,5,3,1,False,True,13,13,4,True,7,1,True,True,True,True,2,2,True,True,OK,420.84,1726.1,453.42,611564.0
118,6,2,3,3,13,13,1,2,5,1,11,3,2,True,False,15,1,3,False,10,4,False,True,False,False,3,16,False,True,TIMING,410.32,1697.75,inf,inf
119,6,2,3,3,14,11,2,8,13,4,3,1,1,True,True,15,1,3,False,10,4,True,True,True,False,3,7,False,True,TIMING,412.61,1731.27,inf,inf
120,10,2,3,3,14,13,8,1,6,3,10,3,3,True,True,16,7,3,False,1,2,True,True,False,False,2,16,True,True,OK,419.26,1687.71,442.14,613050.0
121,14,2,3,2,25,3,6,8,17,4,9,3,1,False,False,16,10,2,False,14,1,True,False,True,False,2,14,True,True,OK,372.13,939.73,371.94,599320.0
122,15,2,1,2,30,6,6,11,4,5,7,3,1,False,True,12,9,2,True,9,4,True,True,True,True,3,5,True,True,TIMING,400.53,1715.59,inf,inf
123,1,2,3,2,30,8,4,11,20,8,6,2,1,False,True,13,16,3,True,14,4,False,True,True,True,3,13,False,False,TIMING,411.81,1665.98,inf,inf
124,2,2,3,2,12,8,3,1,4,6,3,3,1,True,True,12,7,2,False,14,3,False,True,False,False,2,10,False,False,RTO,369.05,884.13,276.08,inf
125,1,2,2,3,3,11,1,6,1,6,5,1,2,True,True,15,15,4,True,16,4,False,True,True,True,2,2,False,False,OK,415.96,1757.94,418.05,611084.0
126,10,2,2,2,31,12,8,8,30,3,9,1,3,False,False,1,9,2,True,1,2,False,True,False,True,3,13,True,False,TIMING,432.08,1800.27,inf,inf
127,4,2,2,3,18,13,7,9,1,4,12,2,1,True,True,15,1,2,True,1,4,True,False,True,False,3,8,False,True,TIMING,369.06,903.36,inf,inf
128,3,2,3,1,32,1,4,10,22,1,10,3,1,False,True,14,5,3,True,10,2,False,False,False,True,2,14,False,False,OK,363.89,907.03,356.25,631392.0
129,5,2,3,1,26,6,1,1,7,5,4,3,3,True,False,16,9,1,False,15,3,True,True,True,False,2,8,True,True,OK,398.62,1753.3,458.53,611024.0
130,14,2,3,3,17,11,1,6,13,4,11,2,2,False,False,15,7,2,False,6,4,False,False,True,False,2,11,True,True,OK,376.06,884.45,358.04,599028.0
131,16,2,2,3,1,6,8,16,1,8,13,1,2,True,True,16,12,3,False,1,3,False,False,False,True,2,1,True,True,OK,390.28,908.79,348.41,589806.0
