id,DATA_MOVER_SHARING,CONVOLVERS,KERNEL_CLOCK,IMPL_STRATEGY,DATA_MOVER_CLOCK,CLOCK_UNCERTAINTY,state,presynth_time,synth_time,impl_time,run_time
1202,1,1,2,24,2,58.82515920595739,OK,549.31,638.67,292.35,2054671044.0
1203,3,2,2,4,2,22.312998958780028,OK,652.08,659.47,293.2,1383765334.0
1204,1,1,2,6,2,31.879146768596044,OK,526.82,659.26,286.88,1938332578.0
1205,2,2,2,25,2,84.56904048553501,OK,632.12,668.53,374.26,1870554394.0
1206,0,1,2,2,2,21.76583804250196,OK,535.5,635.41,305.4,1917907150.0
1207,2,1,1,2,1,100.0,OK,535.31,644.53,323.58,1674885998.0
1208,1,2,2,16,2,39.397482594617905,OK,628.73,595.57,295.41,1394857948.0
1209,1,2,2,0,2,20.302707153525933,OK,624.26,643.16,299.31,1383856306.0
1210,3,2,2,10,2,66.14925771668881,OK,642.62,641.11,318.31,1499647596.0
1211,0,1,2,12,2,20.176336354803475,OK,547.49,658.33,288.97,1917810466.0
1212,3,1,3,26,2,0.30963387596879555,TIMING,528.46,647.42,inf,inf
1213,3,2,2,2,2,41.57810278272313,OK,645.28,632.62,305.43,1405873832.0
1214,3,1,2,23,2,86.87534540219141,OK,534.28,620.7,313.45,2543568578.0
1215,0,1,2,13,2,21.743115431679616,OK,533.33,622.88,271.12,1917873770.0
1216,0,2,2,14,2,24.460286208453326,OK,646.13,640.61,294.05,1383770946.0
1217,1,2,1,18,1,57.16421767313612,OK,660.83,654.05,378.89,1224121210.0
1218,2,2,2,27,2,49.03586659602117,OK,661.52,618.07,290.87,1428389574.0
1219,3,1,2,12,2,82.66931410122953,OK,553.04,643.03,297.91,2452713566.0
1220,1,2,2,16,2,77.06394967820236,OK,637.78,639.25,332.52,1574199586.0
1221,1,1,2,24,2,41.32423950977878,OK,515.62,603.38,274.47,1960989022.0
1222,0,1,2,18,2,58.75064650110809,OK,550.84,643.41,290.25,2054689846.0
1223,2,1,2,14,2,24.208763842441194,OK,550.69,666.81,294.14,1918271244.0
1224,0,1,2,10,2,36.50552159688607,OK,519.32,619.27,272.0,1939430622.0
1225,3,1,2,4,2,68.73782485750714,OK,559.26,650.53,288.84,2103530192.0
1226,3,1,2,0,2,48.9105603501718,OK,559.26,633.1,272.81,1984068856.0
1227,1,2,2,18,2,85.83320810399367,OK,641.87,662.09,384.27,1870630482.0
1228,2,2,2,1,2,18.127807194316205,OK,617.56,630.8,292.9,1383783732.0
1229,1,1,1,22,1,62.35779173268058,OK,553.47,620.76,312.46,1721317948.0
1230,0,1,2,24,2,87.44572576562918,OK,532.35,621.43,315.62,2543526618.0
1231,1,1,2,13,2,48.363080823219676,OK,518.79,644.61,268.95,1984087386.0
1232,2,1,2,1,2,54.27377784882427,OK,548.13,655.41,278.97,2027252218.0
1233,0,1,2,13,2,20.15007732606663,OK,578.65,663.56,278.45,1917794786.0
1234,3,1,1,10,1,54.3871306665649,TIMING,552.55,642.33,inf,inf
1235,0,1,2,14,2,44.547406586053974,OK,578.64,605.22,268.48,1962824694.0
1236,1,1,2,13,2,19.05737657336291,OK,552.72,639.34,284.25,1917814820.0
1237,1,2,2,11,2,59.09922552199664,OK,651.2,638.54,313.07,1472339350.0
1238,0,2,2,21,2,68.49329348333575,OK,624.54,612.89,311.23,1497239384.0
1239,1,2,1,14,1,62.07022140008077,OK,651.19,632.79,356.92,1262587814.0
1240,3,1,2,10,2,32.01591253705103,OK,530.39,671.55,293.23,1938338432.0
1241,0,1,2,22,2,72.21855019176273,OK,522.98,663.46,286.46,2107443460.0
1242,1,1,1,18,1,60.02221553068983,OK,540.04,644.0,309.13,1646784154.0
1243,1,2,2,0,2,74.09033454657444,OK,657.76,705.54,318.11,1557944628.0
1244,1,1,1,13,1,53.748479659670465,OK,521.84,653.9,297.65,1644545150.0
1245,2,2,2,7,2,34.69194586427907,OK,621.44,644.18,307.79,1394897142.0
1246,1,1,1,17,1,62.18588585438442,OK,541.68,666.77,329.67,1720955072.0
1247,0,1,1,24,1,52.61076001857528,OK,528.79,640.24,312.39,1646037146.0
1248,1,1,2,26,2,27.910773159981495,OK,541.86,615.03,288.68,1938261778.0
1249,1,2,2,12,2,75.54858184669061,OK,640.59,663.82,325.87,1570804834.0
1250,1,2,2,5,2,92.1508038030076,OK,640.45,681.9,378.46,1880585720.0
